1,12,13,9
2,9,3,15
3,18,10,26
4,24,3,26
5,10,2,35
6,23,15,31
7,25,8,38
8,14,17,38
9,20,12,35
10,19,11,38
11,13,20,40
12,29,12,42
13,15,17,42
14,17,17,38
15,31,10,43
16,19,13,35
17,32,14,36
18,25,20,36
19,22,39,40
20,20,42,31
21,23,56,32
22,23,47,29
23,27,59,30
24,34,61,35
25,33,71,29
26,39,90,32
27,33,89,28
28,40,90,24
29,29,90,27
30,36,98,26
31,26,101,21
32,31,100,17
33,27,93,17
34,40,103,23
35,32,100,20
36,41,97,13
37,33,84,15
38,47,82,18
39,34,74,12
40,30,67,12
41,39,59,15
42,38,57,17
43,38,65,16
44,49,60,13
45,44,37,16
46,45,35,11
47,33,38,12
48,50,30,7
49,39,37,11
50,43,18,13
51,31,24,14
52,38,28,10
53,50,14,13
54,37,8,9
55,33,16,8
56,31,22,12
57,48,18,13
58,43,17,8
59,33,4,16
60,30,2,16
61,38,9,14
62,35,6,16
63,44,19,18
64,48,20,19
65,32,1,18
66,42,3,14
67,46,5,21
68,34,12,17
69,35,15,25
70,29,11,24
71,30,0,28
72,42,15,22
73,43,0,28
74,33,9,31
75,24,6,28
76,36,1,34
77,34,9,32
78,36,3,32
79,23,10,36
80,24,15,35
81,20,8,39
82,32,13,33
83,18,14,37
84,26,19,37
85,28,12,37
86,31,15,44
87,30,3,44
88,17,8,38
89,28,14,40
90,24,1,38
91,24,4,36
92,19,12,42
93,21,19,35
94,7,16,36
95,10,8,31
96,13,17,23
97,9,6,22
98,5,17,16
99,2,20,11
100,13,9,4
